22:53:29.925 [main] INFO  c.R.journalApp.JournalAppApplication - Starting JournalAppApplication using Java 25.0.2 with PID 5792 (E:\MCA_Language_Course\SpringBoot\journalApp\target\classes started by rashilyadav in E:\MCA_Language_Course\SpringBoot\journalApp)
22:53:29.935 [main] DEBUG c.R.journalApp.JournalAppApplication - Running with Spring Boot v3.5.14, Spring v6.2.18
22:53:29.937 [main] INFO  c.R.journalApp.JournalAppApplication - The following 1 profile is active: "dev"
22:53:31.550 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
22:53:31.678 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 116 ms. Found 2 MongoDB repository interfaces.
22:53:32.806 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
22:53:32.836 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
22:53:32.841 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22:53:32.841 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54]
22:53:33.007 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
22:53:33.008 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2923 ms
22:53:33.605 [cluster-ClusterId{value='6a0c9c9539ee1ae04730c2ce', description='Cluster0'}-srv-cluster0.mgfh3br.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-genknkj-shard-00-00.mgfh3br.mongodb.net:27017 to client view of cluster
